name,country,active years,career length,qualification participations,semi final participations,final participations,semi final percentage,final percentage
alannah yip,CAN,2011-2023,12-15 years,40,20,2,50.00%,5.00%
aleksandra totkova,BUL,2022-2023,1-2 years,13,0,0,0.00%,0.00%
anastasia sanders,USA,2023-2023,1-2 years,7,6,4,85.71%,57.14%
ayala kerem,ISR,2020-2023,3-5 years,19,15,4,78.95%,21.05%
brooke raboutou,USA,2017-2023,6-8 years,27,19,14,70.37%,51.85%
camilla moroni,ITA,2019-2023,3-5 years,21,17,7,80.95%,33.33%
chaehyun seo,KOR,2019-2023,3-5 years,18,15,7,83.33%,38.89%
chloe caulier,BEL,2012-2023,9-12 years,59,28,4,47.46%,6.78%
eliska adamovska,CZE,2019-2023,3-5 years,12,2,1,16.67%,8.33%
elnaz rekabi,IRI,2014-2023,9-12 years,20,9,2,45.00%,10.00%
erin mcneice,GBR,2022-2023,1-2 years,9,2,1,22.22%,11.11%
fanny gibert,FRA,2011-2023,12-15 years,60,44,18,73.33%,30.00%
franziska sterrer,AUT,2015-2023,9-12 years,36,18,2,50.00%,5.56%
futaba ito,JPN,2018-2023,6-8 years,32,30,13,93.75%,40.62%
giorgia tesio,ITA,2016-2023,6-8 years,23,9,2,39.13%,8.70%
hannah meul,GER,2017-2023,6-8 years,28,15,7,53.57%,25.00%
hélène janicot,FRA,2013-2023,9-12 years,8,3,1,37.50%,12.50%
ievgeniia kazbekova,UKR,2012-2023,9-12 years,33,17,5,51.52%,15.15%
jain kim,KOR,2008-2023,12-15 years,40,28,14,70.00%,35.00%
kylie cullen,USA,2021-2023,3-5 years,19,9,1,47.37%,5.26%
kyra condie,USA,2013-2023,9-12 years,31,13,2,41.94%,6.45%
laura rogora,ITA,2019-2023,3-5 years,24,9,2,37.50%,8.33%
lucia dörffel,GER,2016-2023,6-8 years,19,6,4,31.58%,21.05%
lucka rakovec,SLO,2019-2023,3-5 years,12,10,1,83.33%,8.33%
lynn van der meer,NED,2021-2023,3-5 years,4,1,0,25.00%,0.00%
manon hily,FRA,2014-2023,9-12 years,15,6,0,40.00%,0.00%
martina buršíková,SVK,2023-2023,1-2 years,4,4,2,100.00%,50.00%
maya stasiuk,AUS,2023-2023,1-2 years,5,1,1,20.00%,20.00%
mia krampl,SLO,2018-2023,6-8 years,20,10,3,50.00%,15.00%
michaela smetanova,CZE,2019-2023,3-5 years,9,0,0,0.00%,0.00%
miho nonaka,JPN,2014-2023,9-12 years,57,54,43,94.74%,75.44%
molly thompson-smith,GBR,2017-2023,6-8 years,14,3,0,21.43%,0.00%
noa shiran,ISR,2020-2023,3-5 years,11,2,0,18.18%,0.00%
nonoha kume,JPN,2023-2023,1-2 years,4,3,1,75.00%,25.00%
petra klingler,SUI,2009-2023,12-15 years,77,52,14,67.53%,18.18%
roxana wienand,GER,2017-2023,6-8 years,18,3,0,16.67%,0.00%
ryu nakagawa,JPN,2021-2023,3-5 years,12,6,0,50.00%,0.00%
sandra hopfensitz,GER,2022-2023,1-2 years,8,3,1,37.50%,12.50%
sara copar,SLO,2022-2023,1-2 years,5,1,0,20.00%,0.00%
sol sa,KOR,2011-2023,12-15 years,55,39,4,70.91%,7.27%
stasa gejo,SRB,2013-2023,9-12 years,42,33,21,78.57%,50.00%
svana bjarnason,ISL,2023-2023,1-2 years,4,0,0,0.00%,0.00%
tegwen oates,RSA,2023-2023,1-2 years,1,1,0,100.00%,0.00%
valentina aguado,ARG,2017-2023,6-8 years,23,3,3,13.04%,13.04%
vita lukan,SLO,2017-2023,6-8 years,19,10,1,52.63%,5.26%
yejoo seo,KOR,2022-2023,1-2 years,9,2,0,22.22%,0.00%
zhilu luo,CHN,2022-2023,1-2 years,13,10,6,76.92%,46.15%
zélia avezou,FRA,2022-2023,1-2 years,11,5,5,45.45%,45.45%
