successful tops in 2023,total attempts in 2023,top percentage in 2023,average attempts per top in 2023
19,96,19.79,5.05
9,103,8.74,11.44
39,229,17.03,5.87
43,201,21.39,4.67
60,212,28.3,3.53
39,234,16.67,6.0
39,170,22.94,4.36
28,128,21.88,4.57
4,52,7.69,13.0
19,68,27.94,3.58
22,130,16.92,5.91
27,111,24.32,4.11
17,111,15.32,6.53
43,173,24.86,4.02
24,126,19.05,5.25
32,118,27.12,3.69
9,52,17.31,5.78
39,152,25.66,3.9
11,118,9.32,10.73
13,69,18.84,5.31
20,129,15.5,6.45
25,108,23.15,4.32
31,147,21.09,4.74
6,41,14.63,6.83
7,49,14.29,7.0
7,43,16.28,6.14
25,98,25.51,3.92
10,64,15.62,6.4
16,88,18.18,5.5
2,47,4.26,23.5
55,189,29.1,3.44
7,61,11.48,8.71
18,68,26.47,3.78
15,56,26.79,3.73
26,136,19.12,5.23
15,84,17.86,5.6
22,117,18.8,5.32
18,111,16.22,6.17
12,80,15.0,6.67
14,93,15.05,6.64
44,174,25.29,3.95
1,29,3.45,29.0
2,24,8.33,12.0
33,123,26.83,3.73
5,58,8.62,11.6
7,40,17.5,5.71
40,151,26.49,3.78
48,167,28.74,3.48
