name,qualification participations in 2023,semi final participations in 2023,final participations in 2023,semi final percentage in 2023,final percentage in 2023,podiums in 2023,extended podiums in 2023,1st in 2023,2nd in 2023,3rd in 2023,4th in 2023,5th in 2023,successful tops in 2023,total attempts in 2023,top percentage in 2023,average attempts per top in 2023,recent performance score
alannah yip,7,1,1,14.29%,14.29%,1.0,1.0,0.0,0.0,1.0,0.0,0.0,19,96,19.79,5.05,6.731999999999999
aleksandra totkova,9,0,0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,103,8.74,11.44,2.4779999999999998
anastasia sanders,7,6,4,85.71%,57.14%,0.0,3.0,0.0,0.0,0.0,2.0,1.0,39,229,17.03,5.87,6.222
ayala kerem,7,7,3,100.00%,42.86%,0.0,2.0,0.0,0.0,0.0,2.0,0.0,43,201,21.39,4.67,7.35
brooke raboutou,6,7,7,116.67%,116.67%,6.0,7.0,1.0,2.0,3.0,1.0,0.0,60,212,28.3,3.53,12.137
camilla moroni,8,6,4,75.00%,50.00%,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39,234,16.67,6.0,5.601
chaehyun seo,9,7,2,77.78%,22.22%,1.0,2.0,0.0,1.0,0.0,1.0,0.0,39,170,22.94,4.36,8.245999999999999
chloe caulier,9,2,1,22.22%,11.11%,1.0,1.0,1.0,0.0,0.0,0.0,0.0,28,128,21.88,4.57,7.606999999999999
eliska adamovska,5,0,0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,52,7.69,13.0,1.6069999999999998
elnaz rekabi,4,2,1,50.00%,25.00%,1.0,1.0,0.0,0.0,1.0,0.0,0.0,19,68,27.94,3.58,9.024
erin mcneice,8,2,1,25.00%,12.50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,130,16.92,5.91,5.385000000000001
fanny gibert,6,2,2,33.33%,33.33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,111,24.32,4.11,7.584999999999999
franziska sterrer,8,1,0,12.50%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,111,15.32,6.53,4.843
futaba ito,8,6,3,75.00%,37.50%,1.0,1.0,0.0,1.0,0.0,0.0,0.0,43,173,24.86,4.02,8.456
giorgia tesio,7,3,2,42.86%,28.57%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,24,126,19.05,5.25,6.29
hannah meul,7,4,4,57.14%,57.14%,1.0,2.0,0.0,1.0,0.0,0.0,1.0,32,118,27.12,3.69,9.366999999999997
hélène janicot,4,3,0,75.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,52,17.31,5.78,5.115
ievgeniia kazbekova,8,5,3,62.50%,37.50%,2.0,2.0,1.0,1.0,0.0,0.0,0.0,39,152,25.66,3.9,9.208000000000002
jain kim,7,2,2,28.57%,28.57%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11,118,9.32,10.73,2.8229999999999995
kylie cullen,7,0,1,0.00%,14.29%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,69,18.84,5.31,5.921
kyra condie,7,4,0,57.14%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,129,15.5,6.45,4.805
laura rogora,8,3,2,37.50%,25.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,108,23.15,4.32,7.412999999999999
lucia dörffel,7,3,3,42.86%,42.86%,0.0,1.0,0.0,0.0,0.0,1.0,0.0,31,147,21.09,4.74,6.953
lucka rakovec,2,1,0,50.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,41,14.63,6.83,4.006
lynn van der meer,3,1,0,33.33%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,49,14.29,7.0,3.987
manon hily,4,2,0,50.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,43,16.28,6.14,4.7700000000000005
martina buršíková,4,4,2,100.00%,50.00%,2.0,2.0,0.0,1.0,1.0,0.0,0.0,25,98,25.51,3.92,8.761000000000001
maya stasiuk,5,1,1,20.00%,20.00%,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,64,15.62,6.4,5.146
mia krampl,5,4,1,80.00%,20.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,88,18.18,5.5,5.504
michaela smetanova,5,0,0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,47,4.26,23.5,-0.4720000000000002
miho nonaka,8,7,6,87.50%,75.00%,2.0,4.0,1.0,0.0,1.0,1.0,1.0,55,189,29.1,3.44,10.886000000000001
molly thompson-smith,4,2,0,50.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,61,11.48,8.71,3.073
noa shiran,6,2,0,33.33%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,68,26.47,3.78,8.263
nonoha kume,4,3,1,75.00%,25.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,56,26.79,3.73,8.164
petra klingler,8,4,0,50.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,136,19.12,5.23,6.1129999999999995
roxana wienand,6,1,0,16.67%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,84,17.86,5.6,5.497999999999999
ryu nakagawa,8,4,0,50.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,117,18.8,5.32,6.007999999999999
sandra hopfensitz,6,3,1,50.00%,16.67%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,111,16.22,6.17,4.949
sara copar,4,1,0,25.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,80,15.0,6.67,4.333
sol sa,7,0,0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,93,15.05,6.64,4.651
stasa gejo,8,4,5,50.00%,62.50%,2.0,3.0,1.0,0.0,1.0,0.0,1.0,44,174,25.29,3.95,9.392000000000001
svana bjarnason,4,0,0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29,3.45,29.0,-1.3650000000000002
tegwen oates,1,1,0,100.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,24,8.33,12.0,1.499
valentina aguado,7,3,3,42.86%,42.86%,2.0,3.0,0.0,2.0,0.0,0.0,1.0,33,123,26.83,3.73,9.776
vita lukan,3,2,0,66.67%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,58,8.62,11.6,1.8259999999999998
yejoo seo,5,2,0,40.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,40,17.5,5.71,5.279
zhilu luo,9,5,3,55.56%,33.33%,1.0,3.0,1.0,0.0,0.0,0.0,2.0,40,151,26.49,3.78,9.668999999999999
zélia avezou,8,5,4,62.50%,50.00%,1.0,3.0,0.0,0.0,1.0,1.0,1.0,48,167,28.74,3.48,10.274000000000001
